2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: response.timeout (int): 7200
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: root_endpoint (str): /
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: rss_endpoint (str): /rss
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: sendStrictTransportSecurityHeader (bool): False
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: server.max_request_body_size (int): 524288000
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: server.socket_host (str): 127.0.0.1
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: server.socket_port (int): 8065
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: server.thread_pool (int): 50
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: serverCert (str): $SPLUNK_HOME/etc/auth/splunkweb/cert.pem
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: serverName (str): 
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: showProductMenu (bool): False
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: showUserMenuProfile (bool): False
2024-02-06 03:05:02,637 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: show_app_context (bool): True
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: simple_error_page (bool): False
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: simplexml_dashboard_create_version (str): 1.1
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: site_packages_path (str): /opt/splunk/lib/python3.7/site-packages
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: splunk_dashboard_app_name (str): splunk-dashboard-studio
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: splunkdConnectionTimeout (int): 30
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: splunkdTrustedIP (NoneType): None
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: sslVersions (str): tls1.2
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: start_time (float): 1707188702.6256478
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: startwebserver (int): 1
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: staticAssetId (str): 000
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: staticCompressionLevel (int): 9
2024-02-06 03:05:02,638 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: static_dir (str): share/splunk/search_mrsparkle/exposed
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: static_endpoint (str): /static
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: staticdir (str): /opt/splunk/share/splunk/search_mrsparkle/exposed
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: template_dir (str): share/splunk/search_mrsparkle/templates
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.csrfcookie.name (str): splunkweb_csrf_token_8000
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.csrfcookie.port (str): 8000
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.decode.on (bool): True
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.encode.encoding (str): utf-8
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.encode.on (bool): True
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.encode.text_only (bool): False
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.hook_injection_tool.on (bool): True
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.log_headers.on (bool): True
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.log_tracebacks.on (bool): True
2024-02-06 03:05:02,639 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.response_headers.headers (list): [('Server', 'Splunk')]
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.response_headers.on (bool): True
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.sessions.forceSecure (bool): False
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.sessions.httponly (bool): True
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.sessions.name (str): session_id_8000
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.sessions.on (bool): True
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.sessions.restart_persist (bool): True
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.sessions.secure (bool): False
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.sessions.storage_path (str): /opt/splunk/var/run/splunk
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.sessions.storage_type (str): file
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.sessions.timeout (int): 60
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: tools.trailing_slash.on (bool): True
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: trap_module_exceptions (bool): True
2024-02-06 03:05:02,640 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: trustedIP (str): 127.0.0.1
2024-02-06 03:05:02,641 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: ui_inactivity_timeout (int): 60
2024-02-06 03:05:02,641 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: updateCheckerBaseURL (str): https://quickdraw.splunk.com/js/
2024-02-06 03:05:02,641 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: use_future_expires (bool): True
2024-02-06 03:05:02,641 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: userRegistrationURL (str): https://www.splunk.com/page/sign_up
2024-02-06 03:05:02,641 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: verifyCookiesWorkDuringLogin (bool): True
2024-02-06 03:05:02,641 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: version_label (str): UNKNOWN_VERSION
2024-02-06 03:05:02,641 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: version_number (str): UNKNOWN_VERSION
2024-02-06 03:05:02,641 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: x_frame_options_sameorigin (bool): True
2024-02-06 03:05:02,642 INFO	[65c1a1dd127ff23fb38510] _cplogging:216 - [06/Feb/2024:03:05:02] ENGINE Bus STARTING
2024-02-06 03:05:02,642 INFO	[65c1a1dd127ff23fb38510] root:165 - ENGINE: Bus STARTING
2024-02-06 03:05:02,750 INFO	[65c1a1dd127ff23fb38510] _cplogging:216 - [06/Feb/2024:03:05:02] ENGINE Serving on http://127.0.0.1:8065
2024-02-06 03:05:02,751 INFO	[65c1a1dd127ff23fb38510] root:165 - ENGINE: Serving on http://127.0.0.1:8065
